,LICENSENO,ISSDTTM,EXPDTTM,LICSTATUS,LICENSECAT,DESCRIPT,RESULT,RESULTDTTM,SUM_VIOLATIONS,SCORE,GRADE
1933,24847,2012-06-12 15:08:00,2011-12-31 23:59:00,Inactive,RF,Retail Food,HE_OutBus,2012-03-09 10:49:00,0,100,A
1941,25765,2012-02-09 15:06:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-09 11:08:00,61,39,C
1942,73750,2012-02-13 14:53:00,2015-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_FailExt,2012-03-09 11:11:00,2,98,A
1943,21892,2012-02-13 13:57:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-03-09 11:18:00,6,94,A
1945,30559,2012-03-02 09:22:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,2012-03-09 11:26:00,2,98,A
1960,25114,2011-12-28 12:12:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_FailExt,2012-03-09 12:29:00,4,96,A
1961,29703,2012-02-13 14:30:00,2016-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-03-09 12:33:00,61,39,C
1969,26001,2012-02-08 17:37:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-09 13:54:00,54,46,C
1970,27263,2012-02-15 09:50:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-09 13:57:00,26,74,C
1976,77254,2011-12-28 15:28:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-09 15:04:00,71,29,C
1978,74620,2012-03-13 14:17:00,2011-12-31 23:59:00,Inactive,RF,Retail Food,HE_OutBus,2012-03-12 07:46:00,0,100,A
1982,76951,2012-04-26 11:29:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-12 10:17:00,8,92,B
1984,19442,2012-02-02 10:12:00,2017-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_FailExt,2012-03-12 10:23:00,2,98,A
1985,75005,2012-10-16 10:43:00,2012-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-12 10:28:00,36,64,C
1988,20923,2012-01-10 15:35:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-12 10:37:00,28,72,C
1990,22280,2012-01-24 15:32:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-03-12 10:41:00,8,92,B
1991,21529,2012-09-10 13:47:00,2012-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_FailExt,2012-03-12 10:45:00,12,88,B
1996,74869,2012-06-25 09:46:00,2012-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_FailExt,2012-03-12 11:24:00,2,98,A
1997,18234,2011-12-16 14:11:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_FailExt,2012-03-12 11:26:00,32,68,C
2000,34182,2012-01-26 12:03:00,2016-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-12 11:37:00,69,31,C
2001,67737,2012-01-24 14:56:00,2012-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-12 11:42:00,40,60,C
2004,22685,2012-02-28 13:03:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,2012-03-12 12:03:00,10,90,B
2005,23763,2012-02-08 18:07:00,2014-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-12 12:07:00,16,84,B
2008,67910,2012-01-11 11:58:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-12 12:22:00,48,52,C
2009,25013,2012-01-18 18:20:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_FailExt,2012-03-12 12:30:00,11,89,B
2014,22819,2012-05-29 10:32:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-12 13:16:00,9,91,B
2016,23078,2011-12-30 10:00:00,2016-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-03-12 13:28:00,8,92,B
2025,23100,2011-12-12 14:18:00,2017-12-31 23:59:00,Inactive,RF,Retail Food,HE_FailExt,2012-03-12 14:36:00,10,90,B
2026,18160,2012-05-14 10:49:00,2012-12-31 23:59:00,Inactive,RF,Retail Food,HE_FailExt,2012-03-12 14:39:00,8,92,B
2029,21808,2012-03-09 11:26:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-13 08:17:00,10,90,B
2031,22622,2011-12-29 13:38:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-13 08:24:00,6,94,A
2032,21844,2012-02-15 10:10:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-13 08:28:00,23,77,C
2033,23676,2012-03-27 13:34:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-13 08:36:00,8,92,B
2041,18244,2012-03-12 14:16:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-13 10:28:00,52,48,C
2044,19567,2012-04-27 12:29:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-03-13 10:44:00,18,82,B
2046,67369,2012-03-19 11:27:00,2017-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-13 10:56:00,34,66,C
2047,75760,2012-03-14 09:38:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-13 10:57:00,32,68,C
2050,27301,2012-02-07 13:24:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-13 11:28:00,8,92,B
2051,75534,2012-01-12 17:38:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-03-13 11:28:00,22,78,C
2052,18103,2012-01-05 14:09:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-13 11:30:00,16,84,B
2053,23565,2012-01-26 12:54:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-03-13 11:40:00,6,94,A
2055,30610,2011-12-13 10:13:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-13 11:46:00,36,64,C
2057,33478,2012-02-15 10:33:00,2013-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-13 11:53:00,28,72,C
2062,22229,2012-02-14 12:48:00,2017-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Hearing,2012-03-13 12:18:00,12,88,B
2064,24916,2012-01-12 16:55:00,2013-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-03-13 12:26:00,17,83,B
2065,24722,2011-12-19 09:00:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-03-13 12:32:00,6,94,A
2066,23322,2012-02-14 12:21:00,2016-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-13 12:39:00,28,72,C
2069,29315,2012-01-26 11:03:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-13 13:11:00,20,80,C
2071,75480,2012-01-11 08:44:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-03-13 13:49:00,18,82,B
2074,23336,2011-12-29 13:51:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-13 14:09:00,46,54,C
2077,32008,2011-12-30 09:38:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-13 14:13:00,38,62,C
2078,31817,2012-02-13 14:20:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Hearing,2012-03-13 14:20:00,16,84,B
2084,78470,2012-03-27 09:24:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-14 07:59:00,32,68,C
2085,78491,2012-03-27 12:48:00,2017-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-03-14 10:04:00,41,59,C
2086,20749,2011-12-29 15:12:00,2017-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-14 10:06:00,23,77,C
2089,78493,2012-04-26 11:20:00,2015-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-14 10:30:00,56,44,C
2090,18578,2012-02-15 13:09:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-14 10:53:00,20,80,C
2091,75730,2012-03-14 10:58:00,2012-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_OutBus,2012-03-14 10:59:00,47,53,C
2094,28282,2012-06-01 14:22:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-03-14 11:26:00,29,71,C
2096,20681,2012-01-10 11:25:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-14 11:43:00,24,76,C
2097,68694,2012-02-10 10:08:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-14 11:52:00,26,74,C
2099,20684,2012-01-11 11:26:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-14 12:04:00,4,96,A
2101,22716,2011-12-30 09:24:00,2013-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-14 12:26:00,16,84,B
2103,19399,2011-12-16 09:58:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-14 12:58:00,39,61,C
2104,26099,2012-03-27 13:28:00,2012-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Hearing,2012-03-14 13:07:00,10,90,B
2107,33805,2012-02-13 10:24:00,2018-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_FailExt,2012-03-14 13:59:00,16,84,B
2108,29919,2012-02-29 15:10:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-14 14:05:00,32,68,C
2112,21821,2012-01-10 12:25:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-14 14:38:00,36,64,C
2113,76346,2012-10-16 10:41:00,2012-12-31 23:59:00,Inactive,RF,Retail Food,HE_Hearing,2012-03-14 14:46:00,19,81,B
2115,78444,2012-04-26 14:37:00,2013-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-14 15:48:00,18,82,B
2117,67627,2012-03-12 14:06:00,2012-12-31 23:59:00,Inactive,RF,Retail Food,HE_OutBus,2012-03-15 08:18:00,0,100,A
2119,18021,2011-12-23 10:48:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-03-15 09:55:00,10,90,B
2120,73441,2012-01-05 20:59:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-03-15 10:26:00,14,86,B
2124,78472,2012-03-23 13:27:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-15 10:50:00,46,54,C
2126,75505,2012-02-01 14:13:00,2012-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-03-15 11:06:00,40,60,C
2127,18686,2011-12-29 14:14:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-15 11:07:00,101,-1,C
2130,77408,2012-02-06 09:27:00,2015-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-15 12:06:00,19,81,B
2131,21964,2011-12-13 13:41:00,2013-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-03-15 12:43:00,24,76,C
2138,25445,2011-12-08 14:16:00,2016-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-03-15 13:53:00,19,81,B
2139,24338,2012-03-23 08:56:00,2011-12-31 23:59:00,Inactive,RF,Retail Food,HE_OutBus,2012-03-15 14:10:00,0,100,A
2142,22111,2012-03-16 10:14:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,2012-03-15 14:28:00,29,71,C
2144,20135,2012-01-12 14:07:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,2012-03-15 14:59:00,45,55,C
2146,20529,2011-12-09 09:42:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-15 17:30:00,10,90,B
2148,19218,2011-12-29 13:39:00,2017-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-16 08:33:00,0,100,A
2153,23489,2011-12-29 10:28:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-03-16 11:00:00,6,94,A
2160,78521,2012-03-17 15:15:00,2012-12-31 23:59:00,Deleted,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-17 15:00:00,27,73,C
2162,20071,2012-03-27 15:19:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_TSOP,2012-03-19 08:12:00,78,22,C
2163,18160,2012-05-14 10:49:00,2012-12-31 23:59:00,Inactive,RF,Retail Food,HE_FailExt,2012-03-19 08:38:00,10,90,B
2166,18166,2012-01-13 10:25:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_FailExt,2012-03-19 10:22:00,7,93,B
2167,23382,2011-12-29 13:19:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-19 10:26:00,20,80,C
2168,67691,2012-02-14 12:22:00,2014-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Hearing,2012-03-19 10:34:00,24,76,C
2170,21210,2012-01-17 16:20:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-19 10:47:00,66,34,C
2172,78236,2012-03-27 09:22:00,2013-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-19 10:53:00,22,78,C
2173,29734,2011-12-13 12:10:00,2017-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-19 10:55:00,65,35,C
2174,75255,2012-01-17 16:31:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Hearing,2012-03-19 11:00:00,13,87,B
2178,31362,2011-12-19 14:20:00,2013-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-19 11:12:00,32,68,C
2182,29703,2012-02-13 14:30:00,2016-12-31 23:59:00,Inactive,RF,Retail Food,HE_Hearing,2012-03-19 11:21:00,33,67,C
2183,28997,2012-01-31 17:29:00,2014-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-19 11:22:00,106,-6,C
2184,22902,2012-10-03 12:22:00,2012-12-31 23:59:00,Inactive,RF,Retail Food,HE_FailExt,2012-03-19 11:33:00,8,92,B
2186,27656,2012-02-14 12:40:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-19 11:53:00,31,69,C
2192,77254,2011-12-28 15:28:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Hearing,2012-03-19 12:12:00,57,43,C
2193,25194,2012-01-05 10:37:00,2013-12-31 23:59:00,Inactive,RF,Retail Food,HE_FailExt,2012-03-19 12:17:00,14,86,B
2197,67910,2012-01-11 11:58:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_FailExt,2012-03-19 12:59:00,48,52,C
2199,19217,2012-02-08 16:33:00,2014-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-19 13:08:00,60,40,C
2200,22244,2012-01-09 08:18:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-19 13:19:00,0,100,A
2204,20301,2012-01-25 10:12:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-19 14:06:00,45,55,C
2205,23360,2012-01-25 14:26:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-19 14:12:00,48,52,C
2216,24202,2012-02-24 13:13:00,2012-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-20 10:06:00,54,46,C
2223,28359,2011-12-16 14:06:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-20 10:46:00,26,74,C
2228,23882,2011-12-17 20:30:00,2015-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-03-20 11:21:00,14,86,B
2230,26422,2011-12-19 10:20:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-20 11:33:00,31,69,C
2232,76245,2012-02-13 10:50:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-20 11:36:00,10,90,B
2233,34754,2012-10-03 12:55:00,2012-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-20 11:37:00,12,88,B
2235,20702,2011-12-19 12:27:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-20 11:44:00,19,81,B
2237,33917,2012-01-11 11:26:00,2016-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-20 11:54:00,10,90,B
2240,24738,2012-01-26 14:46:00,2012-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-20 12:11:00,16,84,B
2241,34182,2012-01-26 12:03:00,2016-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Hearing,2012-03-20 12:23:00,55,45,C
2243,25211,2011-12-19 14:33:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-20 12:38:00,6,94,A
2244,25678,2012-02-24 10:29:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-20 12:40:00,26,74,C
2249,25080,2012-02-13 14:51:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-20 13:43:00,48,52,C
2250,23460,2012-05-14 13:39:00,2012-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-03-20 13:50:00,16,84,B
2251,27263,2012-02-15 09:50:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_FailExt,2012-03-20 13:57:00,12,88,B
2253,67883,2011-12-14 09:48:00,2013-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-03-20 14:01:00,22,78,C
2254,20018,2012-02-15 10:40:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_FailExt,2012-03-20 14:07:00,9,91,B
2255,28428,2012-02-09 10:37:00,2015-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-20 14:13:00,80,20,C
2262,37628,2012-01-04 11:26:00,2015-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-03-20 15:07:00,20,80,C
2263,19179,2011-12-28 11:58:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-03-20 15:34:00,19,81,B
2268,29373,2012-02-24 15:23:00,2014-12-31 23:59:00,Inactive,RF,Retail Food,HE_FailExt,2012-03-21 10:09:00,16,84,B
2270,27982,2012-01-27 11:48:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-21 10:35:00,14,86,B
2272,21037,2012-01-31 15:21:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,2012-03-21 10:45:00,9,91,B
2273,75052,2012-02-06 13:28:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-21 10:49:00,12,88,B
2277,19856,2011-12-13 10:21:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-21 11:22:00,4,96,A
2278,32905,2011-12-29 15:36:00,2018-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-03-21 11:31:00,25,75,C
2279,21116,2012-02-21 15:07:00,2015-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-21 11:38:00,12,88,B
2281,37237,2012-01-05 15:15:00,2018-12-31 23:59:00,Active,MFW,Mobile Food Walk On,HE_Fail,2012-03-21 11:43:00,26,74,C
2286,19497,2012-07-27 10:44:00,2012-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-21 12:12:00,6,94,A
2291,67369,2012-03-19 11:27:00,2017-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_FailExt,2012-03-21 12:24:00,12,88,B
2294,18499,2012-01-05 09:50:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-21 12:37:00,10,90,B
2296,20681,2012-01-10 11:25:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Hearing,2012-03-21 12:39:00,10,90,B
2299,28750,2012-01-11 13:00:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-21 12:52:00,36,64,C
2300,18205,2011-12-08 18:41:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-21 12:54:00,43,57,C
2301,32277,2012-02-21 15:45:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-21 12:55:00,58,42,C
2302,18777,2011-12-30 13:11:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-21 12:56:00,6,94,A
2310,18070,2012-02-09 10:52:00,2012-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-21 14:19:00,36,64,C
2311,21821,2012-01-10 12:25:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,2012-03-21 14:29:00,36,64,C
2313,28255,2012-03-05 09:51:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-03-21 14:30:00,18,82,B
2315,24392,2011-12-15 14:06:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-21 14:39:00,8,92,B
2316,73587,2012-03-05 09:43:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-21 14:42:00,62,38,C
2318,78448,2012-04-04 10:27:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-22 09:10:00,10,90,B
2321,23515,2012-02-13 10:35:00,2016-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-22 10:06:00,22,78,C
2322,19980,2012-01-12 12:46:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-22 10:16:00,4,96,A
2323,18908,2012-01-23 14:22:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-22 10:22:00,8,92,B
2324,25080,2012-02-13 14:51:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Hearing,2012-03-22 10:25:00,4,96,A
2325,18796,2012-01-05 10:18:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-22 10:32:00,36,64,C
2326,33590,2012-01-19 18:09:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-22 10:34:00,8,92,B
2327,22926,2012-02-14 12:42:00,2013-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-22 10:40:00,32,68,C
2330,18760,2012-02-08 16:22:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-22 10:55:00,14,86,B
2331,19935,2011-12-16 09:50:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-22 11:12:00,8,92,B
2332,28689,2012-02-13 10:32:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-22 11:20:00,14,86,B
2334,18342,2011-12-14 10:43:00,2014-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-22 11:33:00,4,96,A
2336,28126,2012-02-06 13:33:00,2013-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-22 11:38:00,78,22,C
2338,19458,2011-12-23 08:07:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-22 11:54:00,16,84,B
2339,22802,2012-01-31 18:18:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-22 12:01:00,22,78,C
2341,34593,2012-01-18 15:03:00,2012-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-22 12:16:00,37,63,C
2342,75238,2012-09-27 10:14:00,2012-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-22 12:23:00,6,94,A
2345,26239,2012-02-21 08:25:00,2016-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-22 13:21:00,28,72,C
2347,21171,2012-01-06 10:38:00,2016-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-22 13:48:00,55,45,C
2351,24620,2012-01-10 10:53:00,2016-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-03-22 14:56:00,6,94,A
2352,26941,2012-01-05 11:02:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-22 15:36:00,17,83,B
2353,76346,2012-10-16 10:41:00,2012-12-31 23:59:00,Inactive,RF,Retail Food,HE_Hearing,2012-03-23 08:54:00,19,81,B
2354,77877,2012-05-08 15:41:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-23 09:29:00,16,84,B
2356,74760,2011-12-13 10:18:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-23 10:13:00,18,82,B
2357,23683,2012-03-06 08:24:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-23 10:27:00,12,88,B
2358,18990,2011-12-17 20:53:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-23 10:30:00,98,2,C
2359,18927,2011-12-13 11:53:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-03-23 10:44:00,12,88,B
2368,18981,2012-01-24 14:15:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-23 11:36:00,4,96,A
2370,23336,2011-12-29 13:51:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_FailExt,2012-03-23 11:49:00,2,98,A
2371,27856,2012-06-13 14:17:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-23 11:55:00,4,96,A
2372,31971,2012-02-14 14:52:00,2012-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2012-03-23 11:59:00,31,69,C
2373,29359,2011-12-02 10:06:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-23 12:05:00,4,96,A
2374,24696,2011-12-12 14:54:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-23 12:06:00,51,49,C
2380,23823,2011-12-29 12:51:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-03-23 12:40:00,2,98,A
2383,22574,2012-03-02 15:39:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-03-23 13:17:00,60,40,C
